@relation Tracking

@attribute Label numeric
@attribute Area numeric
@attribute Mean numeric
@attribute StdDev numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute X numeric
@attribute Y numeric
@attribute XM numeric
@attribute YM numeric
@attribute Perim. numeric
@attribute BX numeric
@attribute BY numeric
@attribute Width numeric
@attribute Height numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute Circ. numeric
@attribute Feret numeric
@attribute IntDen numeric
@attribute RawIntDen numeric
@attribute FeretX numeric
@attribute FeretY numeric
@attribute FeretAngle numeric
@attribute MinFeret numeric
@attribute AR numeric
@attribute Round numeric
@attribute Solidity numeric
@attribute class {0,1}

@data
6,13612,255,0,255,255,255,542.043,181.965,542.043,181.965,503.529,474,258,127,167,170.817,101.462,114.99,0.675,176.511,3471060,3471060,493,261,109.872,106.437,1.684,0.594,0.91,0
7,4196,255,0,255,255,255,66.607,408.334,66.607,408.334,301.806,26,443,99,72,92.475,57.772,28.301,0.579,104.062,1069980,1069980,27,133,19.654,65.396,1.601,0.625,0.833,0
7,1794,255,0,255,255,255,188.408,439.073,188.408,439.073,164.853,163,466,48,50,52.28,43.692,45.402,0.83,55.606,457470,457470,167,98,37.694,46.063,1.197,0.836,0.944,1
7,3472,255,0,255,255,255,269.152,356.615,269.152,356.615,245.179,231,391,72,70,69.686,63.437,137.295,0.726,75.928,885360,885360,237,143,139.808,66.386,1.099,0.91,0.901,0
7,3564,255,0,255,255,255,351.112,133.902,351.112,133.902,241.622,317,165,75,66,78.76,57.616,31.011,0.767,85.446,908820,908820,319,409,34.992,62.054,1.367,0.732,0.93,0
7,2651,255,0,255,255,255,252.327,70.32,252.327,70.32,328.676,216,112,75,88,70.071,48.171,107.496,0.308,93.301,676005,676005,255,495,70.594,72.311,1.455,0.687,0.588,0
7,13887,255,0,255,255,255,543.01,183.914,543.01,183.914,516.357,469,259,133,168,170.237,103.864,116.973,0.655,176.853,3541185,3541185,493,261,110.177,112.049,1.639,0.61,0.91,1
8,4256,255,0,255,255,255,64.693,409.118,64.693,409.118,296.392,23,446,101,76,93.03,58.249,28.479,0.609,104.048,1085280,1085280,23,125,13.903,63.651,1.597,0.626,0.857,1
8,1863,255,0,255,255,255,187.404,438.138,187.404,438.138,167.924,159,464,53,50,55.135,43.022,41.408,0.83,56.639,475065,475065,165,98,42.138,45.645,1.282,0.78,0.944,1
8,3772,255,0,255,255,255,269.182,355.396,269.182,355.396,282.25,230,390,73,72,71.705,66.978,114.101,0.595,84.876,961860,961860,249,200,55.561,71.258,1.071,0.934,0.88,0
8,4841,255,0,255,255,255,350.719,135.693,350.719,135.693,298.978,307,171,91,74,89.415,68.934,23.899,0.681,97,1234455,1234455,323,420,47.925,74,1.297,0.771,0.901,0
8,3021,255,0,255,255,255,249.426,70.18,249.426,70.18,345.605,213,112,79,92,73.958,52.009,111.063,0.318,96.799,770355,770355,256,499,70.067,76.174,1.422,0.703,0.595,0
8,14020,255,0,255,255,255,546.002,183.184,546.002,183.184,524.985,471,260,138,168,169.723,105.176,116.986,0.639,173.462,3575100,3575100,493,265,112.721,113.024,1.614,0.62,0.9,0
8,1755,255,0,255,255,255,70.653,29.175,70.653,29.175,194.551,37,53,68,48,63.812,35.017,151.719,0.583,70.342,447525,447525,37,483,165.174,39.512,1.822,0.549,0.864,1

